运单编号,目的地,计费重量,总运费,备注
3307580373694,福建省,0.34,6.3,
3307580373761,广东省,0.85,6.3,
3307580373675,湖北省,0.45,6.3,
3307580293067,江西省,0.2,6.3,
3307580293055,广东省,0.4,6.3,
3307580293043,湖北省,0.24,6.3,
3307580293031,福建省,0.5,6.3,
3307580293020,河北省,0.34,6.3,
3307580293018,北京,0.25,6.3,
3307601368015,广东省,0.6,6.3,
3307581493886,江苏省,0.36,4,
3307581732675,广东省,0.28,6.3,
3307581732669,山西省,0.58,6.3,
3307581732657,北京,0.63,6.3,
3307581493916,山东省,1,6.3,
3307581493904,河北省,0.3,6.3,
3307581493898,河北省,0.2,6.3,
3307581244160,天津,0.2,6.3,
3307581493874,福建省,0.25,6.3,
3307581493862,天津,0.46,6.3,
3307581244213,河北省,0.1,6.3,
3307581244201,河南省,0.2,6.3,
3307581244195,河南省,0.2,6.3,
3307581244183,福建省,0.6,6.3,
3307581244171,河北省,0.2,6.3,
3307604085000,河南省,0.81,6.3,
3307581732748,河北省,0.21,6.3,
3307601920814,辽宁省,0.6,6.3,
3307601920826,天津,0.65,6.3,
3307581732694,辽宁省,0.85,6.3,
3307581732705,湖北省,0.78,6.3,
3307581732712,黑龙江省,0.39,6.3,
3307581732724,辽宁省,0.55,6.3,
3307581732736,新疆维吾尔自治区,0.42,6.3,
3307601920802,福建省,0.3,6.3,
3307582282266,甘肃省,0.2,6.3,
3307582282278,天津,0.2,6.3,
3307582282280,福建省,0.2,6.3,
3307582282291,湖南省,0.2,6.3,
3307604084972,吉林省,0.2,6.3,
3307604084984,湖南省,0.37,6.3,
3307604084996,广东省,0.85,6.3,
3307601368027,福建省,0.5,6.3,
3307601368090,广东省,0.4,6.3,
3307601368039,山东省,0.42,6.3,
3307601368045,河南省,0.29,6.3,
3307601368052,湖北省,0.56,6.3,
3307601368064,河南省,0.44,6.3,
3307601368076,北京,0.8,6.3,
3307601368088,山东省,0.45,6.3,
3307601920796,山西省,0.25,6.3,
3307601368106,广东省,0.2,6.3,
3307601920735,山东省,0.45,6.3,
3307601920747,河南省,0.64,6.3,
3307601920759,广东省,0.34,6.3,
3307601920765,河南省,0.28,6.3,
3307601920772,湖北省,0.62,6.3,
3307601920784,福建省,0.2,6.3,
3307581732682,宁夏回族自治区,1.75,11.34,
3307517181236,河南省,0.45,6.3,
3307517181297,湖南省,0.8,6.3,
3307517181285,河南省,0.2,6.3,
3307517181273,河南省,0.46,6.3,
3307517181261,河南省,0.45,6.3,
3307517181250,福建省,0.44,6.3,
3307517181248,湖北省,0.6,6.3,
3307517181303,福建省,1,6.3,
3307517181224,福建省,0.44,6.3,
3307516787508,湖南省,0.2,6.3,
3307516787491,山东省,0.2,6.3,
3307516787480,湖南省,0.2,6.3,
3307516787478,河南省,0.2,6.3,
3307516787466,江西省,0.29,6.3,
3307516787454,福建省,0.6,6.3,
3307589492349,广东省,0.27,6.3,
3307599696684,北京,0.1,6.3,
3307589492295,天津,0.2,6.3,
3307589492301,湖北省,0.22,6.3,
3307589492313,广东省,0.2,6.3,
3307589492325,广东省,0.56,6.3,
3307589492337,山西省,0.32,6.3,
3307517181315,江西省,0.25,6.3,
3307599696672,辽宁省,0.66,6.3,
3307599696665,北京,0.5,6.3,
3307599696659,广东省,0.59,6.3,
3307599696647,吉林省,0.45,6.3,
3307599696635,北京,0.65,6.3,
3307599696623,湖北省,1,6.3,
3307599696696,北京,2.15,13.86,
3307506621741,河北省,0.2,6.3,
3307506638295,江西省,0.2,6.3,
3307506638283,辽宁省,0.2,6.3,
3307506638271,江苏省,0.14,4,
3307506638260,河南省,0.26,6.3,
3307506638258,河北省,0.31,6.3,
3307506638246,湖北省,0.65,6.3,
3307507749545,广东省,0.59,6.3,
3307506621730,江苏省,0.2,4,
3307506621728,湖北省,0.2,6.3,
3307506621716,海南省,0.18,6.3,
3307506621704,广东省,0.9,6.3,
3307506621698,山东省,0.3,6.3,
3307504073208,天津,0.2,6.3,
3307515359119,广东省,0.2,6.3,
3307515359041,河南省,0.22,6.3,
3307515359107,湖南省,0.54,6.3,
3307599696611,山东省,0.35,6.3,
3307515359089,湖北省,1.16,7.56,
3307515359065,河南省,1.48,9.45,
3307515359053,浙江省,0.2,4,
3307507749552,广东省,0.2,6.3,
3307515359030,北京,1.65,10.71,
3307515359028,广东省,1.1,6.93,
3307507749590,吉林省,0.04,6.3,
3307507749588,福建省,0.2,6.3,
3307507749576,江西省,0.55,6.3,
3307507749564,河南省,0.35,6.3,
3307604085059,天津,0.38,6.3,
3307609779959,北京,0.3,6.3,
3307609779900,广东省,0.78,6.3,
3307609779911,山东省,0.55,6.3,
3307609779923,河南省,0.5,6.3,
3307609779935,河北省,0.45,6.3,
3307609779947,北京,0.24,6.3,
3307609779893,山东省,0.65,6.3,
3307610018390,广东省,0.45,6.3,
3307610018406,湖南省,0.54,6.3,
3307610018418,广东省,0.45,6.3,
3307610018420,福建省,0.2,6.3,
3307610018431,辽宁省,0.2,6.3,
3307610018443,北京,0.2,6.3,
3307599696702,天津,0.2,6.3,
3307607778158,河北省,0.2,6.3,
3307582282308,湖北省,0.21,6.3,
3307582282310,湖北省,0.4,6.3,
3307600097158,天津,0.25,6.3,
3307600097146,江西省,0.21,6.3,
3307600097134,北京,0.2,6.3,
3307609779881,北京,0.33,6.3,
3307600097122,山东省,0.2,6.3,
3307600097115,广西壮族自治区,0.22,6.3,
3307600097109,湖北省,0.4,6.3,
3307609779868,北京,0.7,6.3,
3307609779870,广西壮族自治区,1,6.3,
3307604085065,北京,0.42,6.3,
3307549554519,河南省,0.75,6.3,
3307551234453,山东省,0.2,6.3,
3307551234441,北京,0.7,6.3,
3307551234430,福建省,0.55,6.3,
3307551234428,河北省,0.45,6.3,
3307549554525,北京,0.45,6.3,
3307551234465,山东省,0.55,6.3,
3307549554507,湖南省,0.75,6.3,
3307549554495,北京,0.35,6.3,
3307549554489,广东省,1.04,6.93,
3307549554477,山西省,1.02,6.93,
3307549554465,江西省,0.5,6.3,
3307549554453,广东省,0.78,6.3,
3307551234519,江西省,0.55,6.3,
3307549554430,辽宁省,0.85,6.3,
3307549554441,山东省,0.86,6.3,
3307551234477,江苏省,0.66,4,
3307551234507,山东省,0.27,6.3,
3307551234495,河北省,0.68,6.3,
3307551234489,辽宁省,0.5,6.3,
